title	author	group	year	seq
The Iliad	Homer	4	-700	14
The Odyssey	Homer	4	-700	15
The Suppliant Maidens	Aeschylus	5	-458	16
The Persians	Aeschylus	5	-472	17
Seven Against Thebes	Aeschylus	5	-467	18
Prometheus Bound	Aeschylus	5	-424	19
The Oresteia	Aeschylus	5	-450	20
Agamemnon	Aeschylus	5	-450	21
Choephoroe	Aeschylus	5	-450	22
The Eumenides	Aeschylus	5	-450	23
Oedipus the King	Sophocles	5	-429	24
Oedipus at Colonus	Sophocles	5	-401	25
Antigone	Sophocles	5	-450	26
Ajax	Sophocles	5	-450	27
Electra	Sophocles	5	-450	28
The Trachiniae	Sophocles	5	-425	29
Philoctetes	Sophocles	5	-409	30
Rhesus	Euripides	5	-440	31
Medea	Euripides	5	-431	32
Hippolytus	Euripides	5	-428	33
Alcestis	Euripides	5	-438	34
Heracleidae	Euripides	5	-430	35
The Suppliants	Euripides	5	-458	36
The Trojan Women	Euripides	5	-415	37
Ion	Euripides	5	-412	38
Helen	Euripides	5	-412	39
Andromache	Euripides	5	-425	40
Electra	Euripides	5	-414	41
Bacchantes	Euripides	5	-405	42
Hecuba	Euripides	5	-424	43
Heracles Mad	Euripides	5	-416	44
The Phoenician Women	Euripides	5	-425	45
Orestes	Euripides	5	-404	46
Iphigenia in Tauris	Euripides	5	-412	47
Iphigenia in Aulis	Euripides	5	-406	48
The Acharnians	Aristophanes	5	-425	49
The Knights	Aristophanes	5	-424	50
The Clouds	Aristophanes	5	-423	51
The Wasps	Aristophanes	5	-422	52
Peace	Aristophanes	5	-421	53
The Birds	Aristophanes	5	-414	54
The Frogs	Aristophanes	5	-405	55
Lysistrata	Aristophanes	5	-411	56
Thesmophoriazusae	Aristophanes	5	-411	57
Ecclesiazousae	Aristophanes	5	-391	58
Plutus	Aristophanes	5	-388	59
The History	Herodotus	6	-430	60
History of the Peloponnesian War	Thucydides	6	-400	61
Dialogues	Plato	7	-370	62
Charmides	Plato	7	-390	63
Lysis	Plato	7	-387	64
Laches	Plato	7	-390	65
Protagoras	Plato	7	-390	66
Euthydemus	Plato	7	-367	67
Cratylus	Plato	7	-367	68
Phaedrus	Plato	7	-367	69
Ion	Plato	7	-390	70
Symposium	Plato	7	-367	71
Meno	Plato	7	-367	72
Euthyphro	Plato	7	-390	73
Apology	Plato	7	-390	74
Crito	Plato	7	-390	75
Phaedo	Plato	7	-367	76
Gorgias	Plato	7	390	77
The Republic	Plato	7	-375	78
Timaeus	Plato	7	-387	79
Critias	Plato	7	-387	80
Parmenides	Plato	7	-367	81
Theaetetus	Plato	7	-367	82
Sophist	Plato	7	-361	83
Statesman	Plato	7	-387	84
Philebus	Plato	7	-387	85
Laws	Plato	7	-367	86
The Seventh Letter	Plato	7	-352	87
Categories	Aristotle	8	-322	88
On Interpretation	Aristotle	8	-322	89
Prior Analytics	Aristotle	8	-350	90
Posterior Analytics	Aristotle	8	-322	91
Topics	Aristotle	8	-322	92
