work_id	lemma	count	resolution	joined_key
tlg0003.tlg001	δηϊόω	56	accent-blind	δηιόω
tlg0003.tlg001	ἀποθνῄσκω	44	accent-blind	ἀποθνήσκω
tlg0003.tlg001	Ἀμφίπολις	31	accent-blind	ἀμφίπολις
tlg0003.tlg001	σῴζω	29	accent-blind	σώζω
tlg0003.tlg001	θνῄσκω	23	accent-blind	θνήσκω
tlg0003.tlg001	μιμνῄσκω	13	accent-blind	μιμνήσκω
tlg0003.tlg001	Ἀριστεύς	13	accent-blind	ἀριστεύς
tlg0003.tlg001	Ἠϊών	12	accent-blind	ἠιών
tlg0003.tlg001	Κνῆμος	12	accent-blind	κνημός
tlg0003.tlg001	Ὄλυνθος	10	accent-blind	ὄλυνθος
tlg0003.tlg001	Ῥίον	8	accent-blind	ῥίον
tlg0003.tlg001	Φίλιππος	7	accent-blind	φίλιππος
tlg0003.tlg001	ληΐζομαι	6	accent-blind	ληίζομαι
tlg0003.tlg001	πλώϊμος	6	accent-blind	πλώιμος
tlg0003.tlg001	διΐστημι	6	accent-blind	διίστημι
tlg0003.tlg001	Στράτος	6	accent-blind	στρατός
tlg0003.tlg001	τριακονταέτης	5	accent-blind	τριακονταετής
tlg0003.tlg001	Καλλίας	5	accent-blind	καλλίας
tlg0003.tlg001	Ἀνακτόριος	5	accent-blind	ἀνακτόριος
tlg0003.tlg001	Λήκυθος	5	accent-blind	λήκυθος
tlg0003.tlg001	Ἱππίας	4	accent-blind	ἱππίας
tlg0003.tlg001	πανταχῇ	4	accent-blind	πανταχῆ
tlg0003.tlg001	κορίνθιος	4	accent-blind	Κορίνθιος
tlg0003.tlg001	Χρυσίς	4	accent-blind	χρυσίς
tlg0003.tlg001	Πάραλος	4	accent-blind	πάραλος
tlg0003.tlg001	προΐστημι	4	accent-blind	προίστημι
tlg0003.tlg001	Πόντος	4	accent-blind	πόντος
tlg0003.tlg001	Λέων	4	accent-blind	λέων
tlg0003.tlg001	διΐημι	4	accent-blind	διίημι
tlg0003.tlg001	Χερσόνησος	3	accent-blind	χερσόνησος
tlg0003.tlg001	Ἵππαρχος	3	accent-blind	ἵππαρχος
tlg0003.tlg001	ἀναμιμνῄσκω	3	accent-blind	ἀναμιμνήσκω
tlg0003.tlg001	Πάνορμος	3	accent-blind	πάνορμος
tlg0003.tlg001	βορέας	3	accent-blind	Βορέας
tlg0003.tlg001	Πύρρα	3	accent-blind	πύρρα
tlg0003.tlg001	μηδίζω	3	accent-blind	Μηδίζω
tlg0003.tlg001	Ἠιών	3	accent-blind	ἠιών
tlg0003.tlg001	Μηνᾶς	3	accent-blind	μηνάς
tlg0003.tlg001	Πολυκράτης	2	accent-blind	πολυκρατής
tlg0003.tlg001	Ἁρμόδιος	2	accent-blind	ἁρμόδιος
tlg0003.tlg001	Θέρμη	2	accent-blind	θέρμη
tlg0003.tlg001	ἐπιμιμνῄσκομαι	2	accent-blind	ἐπιμιμνήσκομαι
tlg0003.tlg001	Φοῖβος	2	accent-blind	φοῖβος
tlg0003.tlg001	προϋπάρχω	2	accent-blind	προυπάρχω
tlg0003.tlg001	ἐναποθνῄσκω	2	accent-blind	ἐναποθνήσκω
tlg0003.tlg001	Εὐριπίδης	2	accent-blind	εὐριπίδης
tlg0003.tlg001	Σκόμβρος	2	accent-blind	σκόμβρος
tlg0003.tlg001	Πέλλα	2	accent-blind	πέλλα
tlg0003.tlg001	μηδισμός	2	accent-blind	Μηδισμός
tlg0003.tlg001	Ἱερή	2	accent-blind	ἱερή
tlg0003.tlg001	Μακάριος	2	accent-blind	μακάριος
tlg0003.tlg001	Δῖον	2	accent-blind	Δίον
tlg0003.tlg001	Ἀκτή	2	accent-blind	ἀκτή
tlg0003.tlg001	Ἀλκαῖος	2	accent-blind	ἀλκαῖος
tlg0003.tlg001	Μεταγένης	2	accent-blind	μεταγενής
tlg0003.tlg001	Ἅλυς	1	accent-blind	ἄλυς
tlg0003.tlg001	Παλή	1	accent-blind	πάλη
tlg0003.tlg001	Ἀδείμαντος	1	accent-blind	ἀδείμαντος
tlg0003.tlg001	Ζώπυρος	1	accent-blind	ζώπυρος
tlg0003.tlg001	Μειλίχιος	1	accent-blind	μειλίχιος
tlg0003.tlg001	εἵλως	1	accent-blind	Εἵλως
tlg0003.tlg001	Γογγύλος	1	accent-blind	γογγύλος
tlg0003.tlg001	Γόγγυλος	1	accent-blind	γογγύλος
tlg0003.tlg001	Κολώνη	1	accent-blind	κολώνη
tlg0003.tlg001	ἀπομιμνῄσκομαι	1	accent-blind	ἀπομιμνήσκομαι
tlg0003.tlg001	Γῆ	1	accent-blind	γῆ
tlg0003.tlg001	Λίμνη	1	accent-blind	λίμνη
tlg0003.tlg001	Καρκίνος	1	accent-blind	καρκίνος
tlg0003.tlg001	Ἰχθύς	1	accent-blind	ἰχθύς
tlg0003.tlg001	Χρύσις	1	accent-blind	χρυσίς
tlg0003.tlg001	προθνῄσκω	1	accent-blind	προθνήσκω
tlg0003.tlg001	ὑπομιμνῄσκω	1	accent-blind	ὑπομιμνήσκω
tlg0003.tlg001	ἑλληνίζω	1	accent-blind	Ἑλληνίζω
tlg0003.tlg001	Φοινίκη	1	accent-blind	φοινίκη
tlg0003.tlg001	Κρουσίς	1	accent-blind	κροῦσις
tlg0003.tlg001	Ἰσοκράτης	1	accent-blind	ἰσοκρατής
tlg0003.tlg001	παίων	1	accent-blind	Παίων
tlg0003.tlg001	Ἀρχέλαος	1	accent-blind	ἀρχέλαος
tlg0003.tlg001	Εὐρωπός	1	accent-blind	εὐρωπός
tlg0003.tlg001	Ἐπίκουρος	1	accent-blind	ἐπίκουρος
tlg0003.tlg001	Δρύς	1	accent-blind	δρῦς
tlg0003.tlg001	μεγαρεύς	1	accent-blind	Μεγαρεύς
tlg0003.tlg001	Εὐφίλητος	1	accent-blind	εὐφίλητος
tlg0003.tlg001	Παράλιος	1	accent-blind	παράλιος
tlg0003.tlg001	Ἠπειρωτικός	1	accent-blind	ἠπειρωτικός
tlg0003.tlg001	Τείχιον	1	accent-blind	τειχίον
tlg0003.tlg001	περ	1	accent-blind	πέρ
tlg0003.tlg001	Πόλις	1	accent-blind	πόλις
tlg0003.tlg001	Πρόξενος	1	accent-blind	πρόξενος
tlg0003.tlg001	Μεδεών	1	accent-blind	μεδέων
tlg0003.tlg001	Μητρόπολις	1	accent-blind	μητρόπολις
tlg0003.tlg001	πρῴην	1	accent-blind	πρώην
tlg0003.tlg001	πρωΐ	1	accent-blind	πρωί
tlg0003.tlg001	Μόλοβρος	1	accent-blind	μολοβρός
tlg0003.tlg001	Ἕλος	1	accent-blind	ἕλος
tlg0003.tlg001	τροπαῖον	1	accent-blind	τρόπαιον
tlg0003.tlg001	ἀπόλλων	1	accent-blind	Ἀπόλλων
tlg0003.tlg001	Αὐλών	1	accent-blind	αὐλών
tlg0003.tlg001	Τομεύς	1	accent-blind	τομεύς
tlg0003.tlg001	Ταῦρος	1	accent-blind	ταῦρος
tlg0003.tlg001	μη	1	accent-blind	μή
tlg0003.tlg001	Κωφός	1	accent-blind	κωφός
tlg0003.tlg001	Πυθώ	1	accent-blind	πύθω
tlg0003.tlg001	Βασιλίς	1	accent-blind	βασιλίς
tlg0003.tlg001	Εὔστροφος	1	accent-blind	εὔστροφος
tlg0003.tlg001	Ἔνδιος	1	accent-blind	ἔνδιος
tlg0003.tlg001	Ἀλκίφρων	1	accent-blind	ἀλκίφρων
tlg0003.tlg001	Χάραδρος	1	accent-blind	χάραδρος
tlg0059.tlg001	ἀποθνῄσκω	5	accent-blind	ἀποθνήσκω
tlg0059.tlg001	θνῄσκω	3	accent-blind	θνήσκω
tlg0059.tlg001	μιμνῄσκω	3	accent-blind	μιμνήσκω
tlg0059.tlg001	διϊσχυρίζομαι	1	accent-blind	διισχυρίζομαι
tlg0059.tlg001	Κρόνος	1	accent-blind	κρόνος
tlg0059.tlg001	νυν	1	accent-blind	νῦν
tlg0059.tlg001	σῴζω	1	accent-blind	σώζω
tlg0059.tlg001	ἁφίημι	1	accent-blind	ἀφίημι
tlg0059.tlg002	θνῄσκω	12	accent-blind	θνήσκω
tlg0059.tlg002	ἀποθνῄσκω	10	accent-blind	ἀποθνήσκω
tlg0059.tlg002	σῴζω	3	accent-blind	σώζω
tlg0059.tlg002	μιμνῄσκω	2	accent-blind	μιμνήσκω
tlg0059.tlg002	Λέων	2	accent-blind	λέων
tlg0059.tlg002	ἐπαΐω	1	accent-blind	ἐπαίω
tlg0059.tlg002	Πρόδικος	1	accent-blind	πρόδικος
tlg0059.tlg002	Λύκος	1	accent-blind	λύκος
tlg0059.tlg002	νυν	1	accent-blind	νῦν
tlg0059.tlg002	Ἀμφίπολις	1	accent-blind	ἀμφίπολις
tlg0059.tlg002	Λυσανίας	1	accent-blind	λυσανίας
tlg0059.tlg002	Παράλιος	1	accent-blind	παράλιος
tlg0059.tlg002	Ἀδείμαντος	1	accent-blind	ἀδείμαντος
tlg0059.tlg002	ἀναμιμνῄσκω	1	accent-blind	ἀναμιμνήσκω
tlg0059.tlg002	Ὀρφεύς	1	accent-blind	ὀρφεύς
tlg0059.tlg003	σῴζω	7	accent-blind	σώζω
tlg0059.tlg003	ἀποθνῄσκω	6	accent-blind	ἀποθνήσκω
tlg0059.tlg003	ἐπαΐω	5	accent-blind	ἐπαίω
tlg0059.tlg003	πρωΐ	2	accent-blind	πρωί
tlg0059.tlg003	θνῄσκω	2	accent-blind	θνήσκω
tlg0059.tlg003	Φθία	1	accent-blind	φθία
tlg0059.tlg003	παιδιά	1	accent-blind	παιδία
tlg0059.tlg011	Ἔρως	76	accent-blind	ἔρως
tlg0059.tlg011	Φαῖδρος	23	accent-blind	φαιδρός
tlg0059.tlg011	ἀποθνῄσκω	8	accent-blind	ἀποθνήσκω
tlg0059.tlg011	μιμνῄσκω	6	accent-blind	μιμνήσκω
tlg0059.tlg011	ὑπεραποθνῄσκω	4	accent-blind	ὑπεραποθνήσκω
tlg0059.tlg011	ἀναμιμνῄσκω	4	accent-blind	ἀναμιμνήσκω
tlg0059.tlg011	σῴζω	4	accent-blind	σώζω
tlg0059.tlg011	Πόρος	4	accent-blind	πόρος
tlg0059.tlg011	πρῴην	3	accent-blind	πρώην
tlg0059.tlg011	Πάνδημος	3	accent-blind	πάνδημος
tlg0059.tlg011	Πενία	3	accent-blind	πενία
tlg0059.tlg011	θνῄσκω	2	accent-blind	θνήσκω
tlg0059.tlg011	ἐπαποθνῄσκω	2	accent-blind	ἐπαποθνήσκω
tlg0059.tlg011	ἀφροδίσιος	2	accent-blind	Ἀφροδίσιος
tlg0059.tlg011	σάτυρος	2	accent-blind	Σάτυρος
tlg0059.tlg011	πανταχῇ	2	accent-blind	πανταχῆ
tlg0059.tlg011	Φίλιππος	1	accent-blind	φίλιππος
tlg0059.tlg011	ᾀζω	1	accent-blind	ἄζω
